#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,oiii_5007_cont,h_beta_cont,oiii_5007_eqw,h_beta_eqw
928,52578,232,386.7943,1467.438,46.6461,52.38086,-6.234416,-20.50452
1810,53794,504,291.4393,1133.808,43.18211,54.08579,-5.339395,-14.90093
498,51984,104,231.4059,462.6565,26.91849,31.27033,-6.52823,-10.74795
1395,52825,260,494.7087,1470.739,49.47667,64.75712,-8.984061,-16.36595
1187,52708,28,359.4231,1422.934,51.62181,66.4076,-6.030762,-15.94532
1199,52703,596,197.4456,923.4674,33.73718,39.20142,-3.780042,-17.16321
1843,53816,502,365.3227,478.9211,23.7162,33.47097,-14.46055,-10.24035
1843,53816,584,249.477,557.34,22.50405,32.91986,-10.94297,-12.03965
2744,54272,535,91.07372,446.851,23.09428,25.29775,-3.165938,-13.11048
2506,54179,9,1356.326,877.0047,43.37162,57.77833,-32.20069,-11.18361
2493,54115,278,222.8429,638.5866,25.38753,34.22258,-8.686844,-13.32672
299,51671,98,349.9211,797.6859,45.20689,56.03726,-5.976952,-10.47909
299,51671,251,250.9195,678.8031,30.34161,37.86407,-6.982044,-12.96311
739,52520,388,935.6229,2456.67,82.72861,97.82156,-10.6942,-18.63049
2075,53730,535,48.09223,148.7186,6.356383,7.529359,-7.64919,-14.40911
2508,53875,353,122.285,595.0656,32.21558,41.99639,-3.642899,-10.01189
312,51689,177,166.9431,467.5305,30.76804,34.16249,-5.257181,-10.05136
995,52731,366,463.2971,493.4009,22.08378,30.49668,-21.13799,-11.81635
1873,54437,413,1018.167,1955.585,103.882,124.6946,-9.659874,-11.63341
2514,53882,480,203.3427,457.0789,24.21627,29.84332,-7.022546,-11.41244
2524,54568,468,527.9416,914.0095,51.88758,67.0392,-9.488585,-10.00645
2526,54582,404,325.5394,965.0396,45.42752,57.84425,-5.393373,-11.94227
1695,53473,612,184.2249,1102.746,32.3564,39.19835,-3.759751,-20.1861
2783,54524,246,272.0663,489.1595,23.78497,30.71905,-10.04499,-11.65888
329,52056,577,818.7128,1135.089,40.06153,53.40923,-21.4657,-15.52481
535,51999,582,978.8578,1601.402,46.05205,54.62045,-14.75778,-21.23659
2517,54567,563,237.1776,1139.158,39.99641,48.66222,-3.867321,-17.51089
2520,54584,442,631.3001,178.4678,9.809908,12.37482,-67.54519,-11.22126
