#Table1
plate,mjd,fiberid,z,ra,dec,h_beta_flux,h_beta_eqw,oiii_5007_flux,h_gamma_flux,ratio_oiii_hbeta,ratio_hbeta_hgamma,ratio_oiii_hgamma,approx_ebv_sfd,fwhm_hbeta_kms
299,51671,310,0.271596,204.1469,-0.35177838,131.986,-13.08857,85.82951,62.58635,0.6502926,2.108862,1.371377,0.02304087,1177.41002251547
300,51943,272,0.2447907,206.24771,-0.26653267,993.4495,-26.27094,1756.561,435.3727,1.768143,2.281837,4.034614,0.02211701,1177.41002251547
300,51943,309,0.07327056,205.96278,0.076331759,604.6573,-11.43364,676.2073,293.9839,1.118331,2.05677,2.30015,0.0230437,1177.41002251547
299,51671,549,0.08696799,206.22046,0.088969194,671.4836,-16.11777,354.6841,342.2238,0.5282096,1.962118,1.03641,0.02271245,1177.41002251547
312,51689,639,0.2399111,230.5157,0.19117172,307.7378,-9.51098,327.7867,147.5969,1.065149,2.084988,2.220823,0.05627044,1177.41002251547
313,51673,635,0.09432624,232.18314,0.12792397,265.0105,-11.99586,237.0859,135.8744,0.8946282,1.950408,1.74489,0.06366897,1177.41002251547
476,52314,166,0.1410031,144.03807,-0.44436502,499.1899,-16.12991,361.0198,209.5944,0.7232112,2.381695,1.722469,0.02573771,1177.41002251547
268,51633,208,0.269597,149.12819,-0.57726153,210.78,-31.31224,391.9733,92.08607,1.859633,2.288945,4.256598,0.03348381,1177.41002251547
274,51913,31,0.2794001,161.05551,-0.056865107,367.8933,-21.28554,93.38091,159.9356,0.2538261,2.300259,0.5838657,0.04303052,1177.41002251547
338,51694,579,0.2657186,194.88952,-1.4759518,220.0962,-7.991777,101.349,100.2402,0.4604757,2.195687,1.01106,0.01760758,1177.41002251547
340,51990,329,0.1113157,197.19043,-1.5149735,363.6169,-16.34487,458.7139,153.8126,1.261531,2.364026,2.982291,0.01877845,1177.41002251547
626,52057,83,0.2219673,248.65791,44.259231,194.9902,-15.70088,179.5785,95.39908,0.9209615,2.043942,1.882392,0.008690191,1177.41002251547
513,51989,110,0.1922005,174.27853,1.6633357,637.2264,-8.170201,358.4321,396.4062,0.5624879,1.607509,0.9042041,0.02375016,1177.41002251547
451,51908,6,0.2213424,141.28619,55.739707,258.6126,-18.7083,164.8783,108.7462,0.6375492,2.37813,1.516175,0.0218985,1177.41002251547
556,51991,352,0.1363783,143.88763,56.740147,186.0378,-8.049537,456.29,93.37026,2.452673,1.992474,4.886889,0.01981849,1177.41002251547
557,52253,398,0.1846314,146.01049,57.535859,660.2166,-24.76648,335.2976,276.3335,0.5078601,2.389202,1.21338,0.01133687,1177.41002251547
565,52225,383,0.2967729,133.24676,3.2223946,2577.094,-16.616,440.1302,1179.156,0.1707854,2.185541,0.3732586,0.04330587,1177.41002251547
839,52373,188,0.1268424,176.22984,4.3390917,557.898,-17.37631,566.5984,262.7536,1.015595,2.123275,2.156387,0.02060324,1177.41002251547
611,52055,341,0.2803703,223.63938,61.283968,358.8935,-20.093,369.7951,175.7427,1.030376,2.042154,2.104185,0.009433203,1177.41002251547
611,52055,201,0.2826588,225.6969,60.40251,233.7183,-12.32506,202.637,102.7518,0.8670135,2.274592,1.972102,0.01197842,1177.41002251547
947,52411,426,0.2001151,156.1025,57.253067,618.8661,-13.57872,604.9981,212.334,0.9775912,2.914588,2.849276,0.01244627,1177.41002251547
947,52411,489,0.1883512,157.31199,57.398257,1079.942,-16.12148,862.0944,485.0435,0.7982786,2.226484,1.777355,0.007971385,1177.41002251547
946,52407,356,0.09028227,151.27565,56.408108,380.2799,-7.608722,1447.243,167.6291,3.80573,2.268579,8.633598,0.006814599,1177.41002251547
982,52466,313,0.1721199,311.01888,-1.2040786,249.8609,-19.21564,112.5714,82.35868,0.4505362,3.033813,1.366843,0.05537271,1177.41002251547
889,52663,7,0.1584149,116.45113,28.810558,801.9602,-18.84764,828.0476,303.8608,1.03253,2.639235,2.725088,0.03017623,1177.41002251547
