specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,snMedian_g
683536182147049472,607,52368,418,217.05423,61.187713,0.03681741,2903.611,527.2005,79.64045,2446.315,20.13856,9.412522,7.102148,16.0167,46.73903
675686218024904704,600,52317,532,188.76103,66.375946,0.04685231,2202.99,464.6168,95.73929,1139.376,23.74573,8.678604,7.555988,14.34409,44.50981
1863508990709753856,1655,53523,526,239.68209,26.81815,0.01415494,13121.21,2184.1,642.9219,7064.974,82.791,20.75547,13.53332,43.07296,49.82107
609142668794030080,541,51959,112,114.75599,31.91474,0.04048821,105.8112,29.39003,48.4282,109.3471,5.648892,3.904398,4.203235,5.335415,56.06063
443611192460601344,394,51913,24,14.072866,-0.3697009,0.0447249,45.11355,14.50603,25.7137,59.13488,3.353954,2.892773,3.758958,4.12511,55.49555
323230613983225856,287,52023,354,182.09802,0.11026014,0.04077477,835.7939,201.4609,45.40165,362.7391,7.222262,3.67106,3.273368,5.059918,43.65602
2165257034268698624,1923,53319,551,121.97123,18.911792,0.01564719,2261.605,612.0125,221.0712,845.0268,15.36957,6.519563,4.661606,7.783753,43.66152
1014509252775012352,901,52641,267,142.55552,49.4883,0.02491404,517.9783,116.516,93.07463,368.8078,17.78731,10.78762,12.59288,17.29625,41.99527
1088904133571799040,967,52636,578,176.48587,50.199786,0.002484356,9116.758,2888.22,5155.159,1258.65,74.07951,29.03406,48.1197,16.12132,49.68878
2426488361049942016,2155,53820,633,229.24648,24.488182,0.02172226,9728.388,2112.095,1583.726,3436.171,72.61543,21.71673,20.05308,28.56997,45.85443
2358928863276328960,2095,53474,613,181.78533,32.995884,0.02652918,5252.368,1229.198,651.6702,2561.213,45.24332,16.58573,14.07709,24.46428,42.0262
2497399164392990720,2218,53816,557,173.00911,27.005766,0.03274728,155.4984,42.9437,67.58727,206.7797,9.49922,6.314975,6.721762,9.252748,42.83875
2504168307712616448,2224,53815,607,179.95672,30.844423,0.010369,237.8793,96.11385,136.7156,140.4308,12.00551,8.261292,9.49727,11.0451,43.9104
2508554259646146560,2228,53818,179,182.19704,29.304781,0.01237441,227.23,126.6017,219.0955,252.9011,26.99608,18.26703,21.36355,24.04265,46.04901
2654936365468248064,2358,53797,234,161.45753,27.619789,0.04435389,7713.12,1787.554,506.8737,4048.196,59.63843,19.34967,13.68049,29.32465,41.82903
1371479997524502528,1218,52709,487,153.20238,43.145531,0.007489528,276.3123,88.41828,141.2283,321.8531,16.65642,10.24325,14.17762,19.53946,47.20228
2936465504484747264,2608,54474,431,180.43715,20.328341,0.02359786,1518.775,390.6733,4479.838,2631.448,13.23183,6.88912,25.3591,16.00771,43.33746
2937578485163517952,2609,54476,384,181.04707,20.409837,0.02391663,325.2346,112.2537,264.012,467.2952,13.8648,8.611627,10.09467,14.1643,57.06081
1468209812620732416,1304,52993,132,144.58041,9.4459901,0.01868909,545.1429,132.2756,103.2959,248.8441,8.650966,5.025356,5.602476,7.215982,43.58086
2522083750309816320,2240,53823,247,193.18363,26.470404,0.0212942,279.4084,64.74944,53.85551,168.1613,13.28369,7.68683,7.870909,12.28088,43.8363
2027893411385731072,1801,54156,537,204.11567,7.816233,0.02333842,5174.51,1525.941,2445.955,977.621,35.82436,11.91755,18.4566,8.016032,44.82144
3119982517264869376,2771,54527,414,211.21949,21.63351,0.01650352,4677.088,1051.751,348.8607,1923.482,32.00774,10.33447,6.983138,15.28122,46.36203
1611227962953197568,1431,52992,237,158.67162,44.625353,0.02424645,109.4919,37.2924,76.60254,122.6909,9.484863,6.692955,7.560437,9.456936,42.23935
2115598985434523648,1879,54478,120,150.83046,68.734521,-3.109217E-05,20359.51,5687.946,3969.851,4030.301,153.782,46.90277,40.3701,35.33723,44.89193
506771263444772864,450,51908,423,135.93409,55.59672,0.03725692,1082.922,246.7569,74.68004,457.0209,8.307508,3.265968,2.679223,4.152081,41.26207
2112230081572136960,1876,54464,152,135.57855,63.805487,0.02403773,159.3696,33.80684,70.05108,202.9392,6.761344,4.978065,5.374682,6.735823,47.47467
606913409941792768,539,52017,194,225.33809,1.6370643,0.0351285,1833.768,357.5612,322.488,1659.211,17.13592,8.729194,10.31878,16.4024,54.40905
439203799882557440,390,51900,374,4.9472132,0.59079485,0.01769955,1524.996,439.3545,2370.675,1176.798,8.381107,4.707479,12.18217,6.747539,58.83753
2223789267857991680,1975,53734,498,190.98624,32.170742,0.001977364,14215.46,4141.521,26469.81,289.1529,142.5868,42.4416,298.396,4.912669,44.96942
2168539076444055552,1926,53317,203,124.77126,21.791401,0.01501069,1973.538,441.7253,220.357,739.242,14.80908,5.410116,5.071107,7.017831,50.46538
2169651782278473728,1927,53321,155,125.56764,21.092562,0.02227761,91.30737,40.25194,56.60282,110.4662,7.363786,5.619993,6.616122,8.302367,42.70399
2394808133173143552,2127,53859,69,214.62389,26.287846,0.01499342,120.1023,42.62683,86.76347,162.4303,12.62957,8.303555,10.4767,14.59871,40.29339
2366723311959828480,2102,54115,297,201.08404,36.596087,0.01589933,5655.418,1664.396,3972.619,664.9387,42.46071,17.13765,36.45327,9.324214,44.7183
2568210460239226880,2281,53711,119,133.96866,18.156481,0.0141406,90.4764,34.5049,77.72681,64.37513,10.42651,6.879855,8.394173,9.991211,49.25987
635037546463651840,564,52224,109,131.68318,2.5374112,0.02807627,389.5372,126.6537,206.9172,428.9828,11.74236,7.047484,7.54699,11.21498,65.84071
636175266137270272,565,52225,152,134.39949,3.0902346,0.01205805,355.8801,89.7747,152.3978,455.8994,20.30526,11.3795,13.32883,21.64821,43.04593
2256389512793974784,2004,53737,313,181.81956,32.075601,0.0296073,68.34614,39.17542,48.35786,78.72341,9.587364,7.367363,8.168126,9.981043,42.50855
815291208346658816,724,52254,508,344.3212,-8.9641416,0.06081922,648.1239,105.3115,84.98193,499.4438,8.820403,4.76691,5.567166,8.0841,40.84528
744367759026055168,661,52163,538,21.318238,-8.8736792,0.04918418,4687.902,1147.451,633.1899,3092.075,31.60018,13.16257,11.6965,21.65969,45.0601
751129480658970624,667,52163,561,33.315812,-7.6618628,0.01594187,255.7248,85.57474,124.3489,300.8698,13.3987,8.467617,9.68077,14.03831,44.88396
2504134497730062336,2224,53815,484,179.2854,30.3923,0.01100691,190.234,69.882,117.8674,166.8004,11.72325,7.398103,9.158916,12.12974,48.2972
2662849274802366464,2365,53739,349,153.15804,22.291842,0.02056834,205.6774,103.2847,104.0799,137.9651,11.88708,8.437593,8.421844,10.7373,45.63522
2446636087901186048,2173,53874,202,239.58139,19.967587,0.03287034,130.0619,42.93926,65.45517,182.8683,9.104556,6.13694,6.591963,9.376645,44.38322
1468308218911418368,1304,52993,490,144.53289,9.5239211,0.01109494,569.126,107.2656,34.57538,244.7312,7.622943,3.629049,3.912603,6.436774,44.40951
2519876762003859456,2238,54205,410,191.39731,28.761906,0.02318019,522.7062,143.4013,253.1707,291.0413,6.220604,4.0468,5.473443,5.166673,41.48447
2814783372306442240,2500,54178,122,172.14318,21.01072,0.02076749,155.1755,50.02194,81.09055,161.7245,12.12668,7.786806,9.203988,12.69609,40.8026
2821646523903797248,2506,54179,514,175.99823,19.778955,0.01870616,112.8104,59.89264,38.75773,69.03981,8.756188,6.793521,7.169377,8.81484,41.25439
403174451732047872,358,51818,372,262.0059,57.521827,0.01116178,176.267,62.83074,116.4139,181.4158,9.942819,6.525449,8.2058,10.78785,45.0676
2908248731222566912,2583,54095,179,148.13155,15.775453,0.02838714,105.1346,41.38522,59.3093,106.9596,9.412311,6.641669,6.765017,8.885776,45.94559
2053798718813005824,1824,53491,572,212.01668,7.3276448,0.02383399,1413.031,369.7966,2095.57,1416.562,15.68332,7.773743,20.35943,15.27208,40.15028
551806160559171584,490,51929,419,164.79239,67.037808,0.04072253,156.3383,49.96962,58.78199,99.56056,5.816917,3.979652,3.961234,4.930446,41.90699
511161613374482432,454,51908,11,37.922274,-9.3004449,0.01623568,346.5287,95.04176,128.5184,429.9887,12.2113,7.408399,8.473617,13.0071,55.33382
865881975548831744,769,54530,236,146.99348,54.014769,0.02489806,2917.169,607.5152,599.4363,1620.505,21.46654,7.592417,8.212416,12.3134,40.36137
1874691289665005568,1665,52976,247,49.372549,40.396513,0.01334346,65.04338,20.32691,63.08224,76.72047,2.929516,3.322143,4.591435,4.294755,48.54582
1874761108653369344,1665,52976,501,49.892654,41.58053,0.0150172,197.6471,79.70309,44.89263,146.7658,7.744356,5.594975,5.753958,7.892333,67.66494
1820719014918252544,1617,53112,505,170.51386,7.8135293,0.02049499,97.21618,44.1208,83.06089,74.62664,11.20378,7.9677,10.48813,12.20214,40.29592
594570292492265472,528,52022,346,203.10459,3.0612426,0.02229352,2765.524,663.3504,210.1498,1449.795,14.74116,6.083258,4.359606,8.544809,46.19141
605909830904866816,538,52029,639,225.0017,1.8913206,0.004492924,859.5497,212.0451,163.1563,622.0557,24.70643,11.8574,13.19393,25.07043,45.45863
2165278474745440256,1923,53319,629,122.49051,18.684038,0.01645661,2068.504,575.6002,375.864,593.111,13.64887,5.900801,5.281759,5.842029,42.29691
2364476178326120448,2100,53713,314,169.97609,33.090107,0.04275434,453.1498,60.168,133.5058,666.3714,14.74677,8.801561,10.86272,15.75797,40.71258
2283369880231110656,2028,53818,163,206.82398,34.148803,0.01625167,7951.86,2254.908,2376.487,4753.038,49.67749,22.13372,24.63839,32.37704,50.61144
1105760468607199232,982,52466,461,311.82944,0.32079924,0.01401056,744.0453,322.9061,503.1044,874.8703,29.18538,18.7202,20.20856,28.7188,51.3968
2522158791978412032,2240,53823,520,194.64661,27.596389,0.02564392,980.7279,203.3089,92.66433,586.5858,17.17576,8.565902,9.715348,16.03173,53.01142
1383861873077676032,1229,52723,476,182.04008,10.378879,0.005509924,488.7152,103.7708,31.9018,173.7966,9.106459,4.986674,5.324211,7.732791,41.84016
1783434297907111936,1584,52943,32,123.32063,22.648304,0.02222399,166.2164,72.25724,422.3838,167.7037,5.112483,4.335412,8.846781,5.661834,55.37395
