plate,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw
266,51630,262,0.1224656,145.44666,0.077354713,204.6532,34.08398,5.229819,89.17348,3.137749,27.29552,22.57673,-31.10335
266,51630,312,0.1235886,145.21905,-0.18615382,13.89163,6.178319,15.05109,15.27542,3.060909,3.013376,6.056537,-0.9264538
267,51608,87,0.09042946,148.26946,-0.85665628,151.7438,32.21909,14.32806,68.43263,8.774839,29.93388,18.37644,-9.440907
267,51608,118,0.2148981,148.81068,0.16484644,73.58038,16.14286,12.40919,34.05907,4.169881,13.4583,19.35468,-8.349762
267,51608,245,0.01946783,147.37478,-0.85898878,60.90096,15.58486,21.52299,16.08556,2.867806,13.18931,8.636026,-21.23338
268,51633,1,0.06874236,150.0698,-0.97445885,878.3365,256.4054,610.9689,114.4482,16.69975,111.0991,72.3088,-147.2442
268,51633,174,0.1716147,149.81939,0.10104337,146.2751,38.57096,7.048329,68.80859,5.511112,14.13132,14.99312,-18.94768
268,51633,233,0.09004407,149.45,-0.43307342,201.2793,43.164,5.93914,67.27484,3.057177,19.6733,13.22202,-10.90067
268,51633,412,0.06605762,149.35654,1.0035114,74.05566,22.87721,16.71365,41.5078,9.408949,26.27045,18.84346,-5.471143
268,51633,449,0.1838783,149.51562,1.0166532,9.099241,3.201266,8.346894,5.42401,5.267235,2.412328,2.911582,-0.9382286
268,51633,457,0.1250283,149.5059,1.0891065,65.90871,12.32975,2.900335,27.25104,0.9948117,11.91271,8.939066,-8.218227
268,51633,472,0.06499501,149.4843,0.20641656,666.8866,149.9444,32.18747,286.4166,12.19217,103.7685,72.77163,-36.90224
268,51633,586,0.04001235,150.22831,0.59220611,139.3271,37.92846,27.98774,39.51387,3.896041,34.04093,20.77939,-16.68458
268,51633,587,0.04627055,150.22255,0.55250011,166.8309,39.89712,9.594817,50.62418,2.519433,34.48063,23.345,-26.61001
269,51910,224,0.06687512,150.89336,0.076010905,53.56216,19.01263,21.41267,59.5211,10.1402,10.02026,11.98059,-1.772807
269,51910,380,0.1333117,150.55164,0.9801528,707.756,193.0666,296.3896,111.982,28.89728,127.3596,76.70581,-77.6831
269,51910,557,0.09652208,151.75937,0.47178758,39.33678,4.843148,3.668014,13.88642,3.629261,3.546621,3.798617,-3.79724
270,51909,112,0.09616243,153.44213,-0.13358306,30.40922,8.349993,8.467227,8.337623,0.9408339,1.762631,4.048359,-1.72376
270,51909,253,0.1170835,152.13222,-0.75143802,1276.945,193.6312,101.8531,555.0167,45.91722,239.0767,179.6871,-91.06149
270,51909,356,0.1763657,152.0823,0.45194832,359.8556,75.27764,40.10643,194.779,18.76341,70.18742,63.27481,-27.64161
270,51909,459,0.09608806,152.54556,0.72966647,165.6665,36.84995,6.23219,63.80507,8.179185,19.73256,16.85628,-13.32369
270,51909,464,0.09017465,152.51949,0.35456407,228.9653,38.52014,16.26414,98.39067,8.176981,46.73117,32.41906,-19.53261
271,51883,131,0.06973302,154.2188,-0.77497904,163.0412,35.82798,10.22195,63.49081,4.65584,28.4358,19.15681,-16.68512
271,51883,213,0.04417122,153.9714,-0.76929326,221.2297,66.58456,25.27775,69.42178,6.34065,47.89973,35.07165,-24.32699
271,51883,220,0.1720573,154.15345,-1.2328955,547.5474,78.85338,28.14173,238.3786,18.83125,95.41105,62.84092,-53.39648
271,51883,304,0.0626008,153.82979,-0.64990853,36.1058,9.897922,20.41326,16.88344,11.89631,19.45479,13.64141,-3.399599
